line,emasculation_date,pollination_date,momsp,momplant,dadsp,dadplant,vial,hr,count_date,mid_1,mid_2,mid_3,mid_4,mid_5,bottom_1,bottom_2,bottom_3,bottom_4,bottom_5,notes,status
46,2020-11-22,2020-11-25,kaua,1ax234-1#9,mem,mem#2x201-11#7,265,4,2021-12-14,1,5,,,,1,4,,,,JP: changed dadsp kaua > mem,
47,2020-11-22,2020-11-25,kaua,1ax234-1#9,mem,mem#2x201-11#7,266,24,2021-12-14,,,,,,,,,,,JP: changed dadsp kaua > mem,no pollen on stigmas
48,2020-11-22,2020-11-25,kaua,1ax234-1#9,mem,mem#2x201-11#7,267,24,2021-12-14,0,0,,,,0,0,,,,JP: changed dadsp kaua > mem,
49,2020-11-20,2020-11-23,mem,mem#2x201-11#7,kaua,1ax234-1#9,268,4,2021-12-15,1,4,,,,0,2,,,,,
50,2020-11-20,2020-11-23,mem,mem#2x201-11#7,kaua,1ax234-1#9,269,4,2021-12-15,0,1,1,0,,0,0,0,0,,,
51,2020-11-20,2020-11-23,mem,mem#2x201-11#7,kaua,1ax234-1#9,270,24,2021-12-15,6,7,4,6,6,3,4,3,4,5,,
52,2020-11-20,2020-11-23,mem,mem#2x201-11#7,kaua,1ax234-1#9,271,24,2021-12-15,3,8,6,5,1,2,2,4,5,1,,
53,2020-11-20,2020-11-23,mem,mem#2x201-11#7,mem,mem#2x201-11#1,272,4,2021-12-15,3,2,,,,0,0,,,,,
54,2020-11-20,2020-11-23,mem,mem#2x201-11#7,mem,mem#2x201-11#1,273,4,2021-12-15,1,,,,,0,,,,,,
55,2020-11-20,2020-11-23,mem,mem#2x201-11#7,mem,mem#2x201-11#1,274,24,2021-12-15,3,3,1,0,,3,1,1,0,,,
56,2020-11-20,2020-11-23,mem,mem#2x201-11#7,mem,mem#2x201-11#1,275,24,2021-12-15,4,3,2,,,3,2,2,,,,
57,2021-04-02,2021-04-02,kaua,Prog2x525-1#9,mem,2021-1,985,4,2021-12-05,0,0,0,,,0,0,0,,,,
58,2021-04-02,2021-04-02,kaua,Prog2x525-1#9,mem,2021-1,986,4,2021-12-05,0,0,0,,,0,0,0,,,,
