crossid	plantid	block1	blockAB	cross.manual	collect.date	veg.biomass.g	weigh.date	comments	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	dadpid	smompop
62	1	1	A	HH	2017-02-05	13.909	2017-09-29	NA	175	332	WK	2	hook	879WKG	N-5	hook	between	HH	794-2 x 879-N-5	hook.between	hook.between.WK.2	WK.2	879WKG.N-5	hookWK
117	1	2	A	KK	2017-02-05	3.076	2017-09-29	NA	176	332	892WKG	1	kaal	904WPG	2	kaal	between	KK	892-1 x 904-2	kaal.between	kaal.between.892WKG.1	892WKG.1	904WPG.2	kaal892WKG
89	8	1	A	HH	2017-02-05	10.566	2017-09-29	NA	177	332	WK	2	hook	879WKG	2-2	hook	between	HH	866-2 x 879-2-2	hook.between	hook.between.WK.2	WK.2	879WKG.2-2	hookWK
65	4	11	NA	HH	2017-02-05	15.162	2017-09-29	NA	178	332	WK	2	hook	WK	2E	hook	within	HH	794-2 x 899-2E	hook.within	hook.within.WK.2	WK.2	WK.2E	hookWK
22	2	1	B	HH	2017-02-05	16.776	2017-09-29	NA	179	332	879WKG	10-1	hook	WK	2E- 1	hook	between	HH	879-10-1 x 899-2E- 1	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2E- 1	hook879WKG
204	3	10	B	KH	2017-02-05	27.225	2017-09-29	NA	180	332	3587WP	14	kaal	879WKG	2-2	hook	hybrid	KH	3587-14 x 879-2-2	kaal.hybrid	kaal.hybrid.3587WP.14	3587WP.14	879WKG.2-2	kaal3587WP
11	3	9	A	HK	2017-02-05	32.996	2017-09-29	NA	181	332	879WKG	2-2	hook	904WPG	3	kaal	hybrid	HK	879-2-2 x 904-3	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	904WPG.3	hook879WKG
67	2	5	A	HK	2017-02-05	11.296	2017-10-24	NA	182	332	WK	2	hook	892WKG	4	kaal	hybrid	HK	794-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
20	5	1	B	HH	2017-02-05	27.676	2017-10-24	NA	183	332	879WKG	10-1	hook	WK	4	hook	between	HH	879-10-1 x 794-4	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.4	hook879WKG
198	14	15	NA	KK	2017-02-05	9.132	2017-10-24	NA	184	332	3587WP	7	kaal	3587WP	14	kaal	within	KK	3587-7 x 3587-14	kaal.within	kaal.within.3587WP.7	3587WP.7	3587WP.14	kaal3587WP
41	2	10	A	HK	2017-02-17	15.626	2017-10-24	NA	185	344	879WKG	G-2	hook	3587WP	14	kaal	hybrid	HK	879-G-2 x 3587-14	hook.hybrid	hook.hybrid.879WKG.G-2	879WKG.G-2	3587WP.14	hook879WKG
