vial,line,cross,hr,momid,dadid,pollination_date,mid,bottom,grains,notes
64A,282,KxK,4,892-3,116-2,2018-10-04,13,11,94,
64B,282,KxK,4,892-3,116-2,2018-10-04,11,5,78,
64C,282,KxK,4,892-3,116-2,2018-10-04,8,6,75,
65A,283,KxH,4,892-3,866-2,2018-10-04,11,10,101,
65B,283,KxH,4,892-3,866-2,2018-10-04,12,7,96,
65C,283,KxH,4,892-3,866-2,2018-10-04,13,8,128,
66A,284,KxH,4,892-3,866-2,2018-10-04,11,0,57,
66B,284,KxH,4,892-3,866-2,2018-10-04,9,0,46,
66C,284,KxH,4,892-3,866-2,2018-10-04,10,1,49,
66D,284,KxH,4,892-3,866-2,2018-10-04,14,1,63,
67A,285,KxH,4,892-3,866-2,2018-10-04,9,0,31,
67B,285,KxH,4,892-3,866-2,2018-10-04,11,3,64,
67C,285,KxH,4,892-3,866-2,2018-10-04,9,0,56,
67D,285,KxH,4,892-3,866-2,2018-10-04,12,3,33,
68A,286,KxH,4,892-3,866-2,2018-10-04,11,1,53,
68B,286,KxH,4,892-3,866-2,2018-10-04,10,2,92,
68C,286,KxH,4,892-3,866-2,2018-10-04,12,0,73,
69A,287,KxK,24,892-3,116-2,2018-10-04,9,9,32,
69B,287,KxK,24,892-3,116-2,2018-10-04,8,7,31,
69C,287,KxK,24,892-3,116-2,2018-10-04,10,8,44,
70A,288,KxK,24,892-3,116-2,2018-10-04,7,6,11,
70B,288,KxK,24,892-3,116-2,2018-10-04,9,9,27,
70C,288,KxK,24,892-3,116-2,2018-10-04,8,7,34,
70D,288,KxK,24,892-3,116-2,2018-10-04,8,8,28,
71A,289,KxK,24,892-3,116-2,2018-10-04,9,6,20,
71B,289,KxK,24,892-3,116-2,2018-10-04,14,14,31,
71C,289,KxK,24,892-3,116-2,2018-10-04,14,9,67,
72A,290,KxK,24,892-3,116-2,2018-10-04,17,17,71,
72B,290,KxK,24,892-3,116-2,2018-10-04,18,16,98,
73A,291,KxH,24,892-3,866-2,2018-10-04,8,2,31,
73B,291,KxH,24,892-3,866-2,2018-10-04,7,0,5,
73C,291,KxH,24,892-3,866-2,2018-10-04,5,1,19,
74A,292,KxH,24,892-3,866-2,2018-10-04,9,1,39,
74B,292,KxH,24,892-3,866-2,2018-10-04,7,2,0,
74C,292,KxH,24,892-3,866-2,2018-10-04,8,2,1,
75A,293,KxH,24,892-3,866-2,2018-10-04,6,3,5,
75B,293,KxH,24,892-3,866-2,2018-10-04,10,3,48,
75C,293,KxH,24,892-3,866-2,2018-10-04,6,2,18,
76A,294,KxH,24,892-5,866-2,2018-10-04,10,0,42,
76B,294,KxH,24,892-5,866-2,2018-10-04,8,1,53,
76C,294,KxH,24,892-5,866-2,2018-10-04,8,3,84,
77A,295,HxK,4,866-2,892-5,2018-10-16,4,2,4,
77B,295,HxK,4,866-2,892-5,2018-10-16,1,1,2,
78A,296,HxK,4,866-2,892-5,2018-10-16,0,0,2,
78B,296,HxK,4,866-2,892-5,2018-10-16,0,0,0,
78C,296,HxK,4,866-2,892-5,2018-10-16,3,3,0,
79A,297,HxK,4,866-2,892-5,2018-10-16,1,0,2,
79B,297,HxK,4,866-2,892-5,2018-10-16,1,0,0,
79C,297,HxK,4,866-2,892-5,2018-10-16,1,0,0,
80A,298,HxK,4,866-2,892-5,2018-10-16,1,0,0,
80B,298,HxK,4,866-2,892-5,2018-10-16,2,0,0,
80C,298,HxK,4,866-2,892-5,2018-10-16,4,0,2,
81A,302,HxH,4,866-2,879 G 2-2,2018-10-16,7,4,0,
81B,302,HxH,4,866-2,879 G 2-2,2018-10-16,8,2,0,
82A,303,HxH,4,866-2,879 G 2-2,2018-10-16,2,1,0,
82B,303,HxH,4,866-2,879 G 2-2,2018-10-16,3,1,0,
82C,303,HxH,4,866-2,879 G 2-2,2018-10-16,3,2,0,
83A,305,HxH,4,866-2,879 G 2-2,2018-10-16,3,2,0,
83B,305,HxH,4,866-2,879 G 2-2,2018-10-16,3,3,0,
83C,305,HxH,4,866-2,879 G 2-2,2018-10-16,4,3,0,
84A,306,HxH,4,866-2,879 G 2-2,2018-10-16,2,0,0,
84B,306,HxH,4,866-2,879 G 2-2,2018-10-16,2,2,0,
84C,306,HxH,4,866-2,879 G 2-2,2018-10-16,5,2,0,
85A,299,HxK,24,866-2,892-5,2018-10-16,6,3,11,
85B,299,HxK,24,866-2,892-5,2018-10-16,7,4,34,
85C,299,HxK,24,866-2,892-5,2018-10-16,4,0,0,
87A,301,HxK,24,866-2,140-6,2018-10-16,3,0,5,
87B,301,HxK,24,866-2,140-6,2018-10-16,4,2,2,
87C,301,HxK,24,866-2,140-6,2018-10-16,3,0,3,
93A,319,KxK,4,892-5,116-3,,5,5,112,
93B,319,KxK,4,892-5,116-3,,1,1,7,
93C,319,KxK,4,892-5,116-3,,6,5,53,
94A,325,KxK,4,892-5,116-3,,4,4,78,
94B,325,KxK,4,892-5,116-3,,6,6,75,
94C,325,KxK,4,892-5,116-3,,6,7,33,
95A,321,KxK,4,892-5,116-3,,8,6,41,
95B,321,KxK,4,892-5,116-3,,6,6,19,
95C,321,KxK,4,892-5,116-3,,8,5,64,
96A,320,KxK,4,892-5,116-3,,5,4,0,
96B,320,KxK,4,892-5,116-3,,6,4,0,
96C,320,KxK,4,892-5,116-3,,2,3,0,
97A,323,KxK,24,892-5,116-3,,5,7,76,
97B,323,KxK,24,892-5,116-3,,7,7,82,
97C,323,KxK,24,892-5,116-3,,7,6,83,
98A,324,KxK,24,892-5,116-3,,7,8,86,
98B,324,KxK,24,892-5,116-3,,9,9,67,
98C,324,KxK,24,892-5,116-3,,8,10,81,
99A,322,KxK,24,892-5,116-3,,9,6,65,
99B,322,KxK,24,892-5,116-3,,6,5,31,
99C,322,KxK,24,892-5,116-3,,7,7,41,
100A,326,KxK,24,892-5,116-3,,8,6,92,
100B,326,KxK,24,892-5,116-3,,10,7,88,
100C,326,KxK,24,892-5,116-3,,7,7,61,
101A,337,HxH,4,879 2-2,866-2,,9,4,77,
101B,337,HxH,4,879 2-2,866-2,,15,2,51,
101C,337,HxH,4,879 2-2,866-2,,7,4,94,
103,339,HxH,4,879 2-2,866-2,,9,3,29,
104A,330,HxH,4,879 2-2,866-2,,8,7,86,
104B,330,HxH,4,879 2-2,866-2,,11,3,72,
104C,330,HxH,4,879 2-2,866-2,,7,6,154,
105A,331,HxH,4,879 2-2,866-2,,12,4,55,
105B,331,HxH,4,879 2-2,866-2,,13,3,42,
105C,331,HxH,4,879 2-2,866-2,,8,7,46,
105D,331,HxH,4,879 2-2,866-2,,16,8,49,
106A,332,HxH,4,879 2-2,866-2,,5,1,15,
106B,332,HxH,4,879 2-2,866-2,,4,4,9,
106C,332,HxH,4,879 2-2,866-2,,8,5,128,
106D,332,HxH,4,879 2-2,866-2,,7,4,23,
107A,333,HxH,4,879 2-2,866-2,,5,1,56,
107B,333,HxH,4,879 2-2,866-2,,3,1,14,
108A,334,HxH,4,879 2-2,866-2,,12,3,152,
108B,334,HxH,4,879 2-2,866-2,,17,3,29,
108C,334,HxH,4,879 2-2,866-2,,10,1,31,
108D,334,HxH,4,879 2-2,866-2,,6,3,34,
109A,335,HxH,4,879 2-2,866-2,,12,8,203,
109B,335,HxH,4,879 2-2,866-2,,11,4,93,
109C,335,HxH,4,879 2-2,866-2,,13,6,192,
110A,336,HxH,4,879 2-2,866-2,,15,5,92,
110B,336,HxH,4,879 2-2,866-2,,13,5,81,
110C,336,HxH,4,879 2-2,866-2,,11,3,69,
111A,327,HxH,24,879 2-2,866-2,,14,14,80,
111B,327,HxH,24,879 2-2,866-2,,15,12,104,
111C,327,HxH,24,879 2-2,866-2,,16,12,120,
112A,328,HxH,24,879 2-2,866-2,,14,14,99,
112B,328,HxH,24,879 2-2,866-2,,17,15,119,
112C,328,HxH,24,879 2-2,866-2,,17,13,139,
113A,329,HxH,24,879 2-2,866-2,,18,17,103,
113B,329,HxH,24,879 2-2,866-2,,18,17,85,
113C,329,HxH,24,879 2-2,866-2,,16,14,115,
114A,340,HxH,24,879 2-2,866-2,,18,14,125,
114B,340,HxH,24,879 2-2,866-2,,14,10,64,
114C,340,HxH,24,879 2-2,866-2,,18,16,83,
115A,341,HxH,24,879 2-2,866-2,,14,12,85,
115B,341,HxH,24,879 2-2,866-2,,19,13,74,
115C,341,HxH,24,879 2-2,866-2,,17,12,78,
