index,species,pop,source,plant_id,sex,habitat,seeds_weighed,total_mass_mg,notes,notes2
469,S.sali,842,GH,65.05,F,D,2,0.15,SD-double checked,
470,S.sali,853,GH,102-11,H,D,25,4.23,SD-double checked,
471,S.sali,853,GH,102-11,H,D,25,4.23,SD-double checked,
472,S.sali,853,GH,102-11,H,D,25,4.21,SD-double checked,
473,S.sali,853,GH,102-11,H,D,25,3.91,SD-double checked,
474,S.sali,853,GH,102-11,H,D,25,3.56,SD-double checked,
475,S.sali,853,GH,102-11,H,D,6,0.85,SD-double checked,
476,S.sali,853,GH,102-11,H,D,25,3.73,SD-double checked,
477,S.sali,853,GH,102-11,H,D,25,3.78,SD-double checked,
478,S.sali,853,GH,102-11,H,D,25,3.42,SD-double checked,
479,S.sali,853,GH,102-11,H,D,25,3.85,SD-double checked,
480,S.sali,853,GH,102-11,H,D,25,3.72,SD-double checked,
481,S.sali,853,GH,102-11,H,D,25,3.81,SD-double checked,
482,S.sali,853,GH,102-11,H,D,25,3.39,SD-double checked,
483,S.sali,853,GH,102-11,H,D,25,3.49,SD-double checked,
484,S.sali,853,GH,102-11,H,D,14,2.14,SD-double checked,
485,S.sali,853,GH,102-11,H,D,19,2.46,SD-double checked,
486,S.sali,853,GH,102-11,H,D,25,3.27,SD-double checked,
487,S.sali,853,GH,102-11,H,D,25,2.82,SD-double checked,
488,S.sali,853,GH,102-11,H,D,25,2.78,SD-double checked,
489,S.sali,853,GH,102-11,H,D,25,2.85,SD-double checked,
490,S.sali,853,GH,102-11,H,D,25,2.71,SD-double checked,
491,S.sali,853,GH,102-11,H,D,24,2.71,SD-double checked,
492,S.sali,853,GH,102-11,H,D,4,0.6,SD-double checked,
493,S.sali,853,GH,33-1,H,D,25,3.45,SD-double checked,5 corresponds to V/INV
494,S.sali,853,GH,33-1,H,D,25,3.22,SD-double checked,5 corresponds to V/INV
495,S.sali,853,GH,33-1,H,D,25,3.56,SD-double checked,5 corresponds to V/INV
496,S.sali,853,GH,33-1,H,D,25,3.42,SD-double checked,5 corresponds to V/INV
497,S.sali,853,GH,33-1,H,D,25,3.64,SD-double checked,5 corresponds to V/INV
498,S.sali,853,GH,33-1,H,D,25,3.3,SD-double checked,5 corresponds to V/INV
499,S.sali,853,GH,33-1,H,D,25,3.66,SD-double checked,5 corresponds to V/INV
500,S.sali,853,GH,33-1,H,D,25,3.51,SD-double checked,5 corresponds to V/INV
501,S.sali,853,GH,33-1,H,D,25,3.42,SD-double checked,5 corresponds to V/INV
502,S.sali,853,GH,33-1,H,D,17,2.3,SD-double checked,5 corresponds to V/INV
503,S.sali,853,GH,33-1,H,D,25,5.18,SD-double checked,1 corresponds to V/INV
504,S.sali,853,GH,33-1,H,D,25,5.61,SD-double checked,1 corresponds to V/INV
505,S.sali,853,GH,33-1,H,D,9,1.92,SD-double checked,1 corresponds to V/INV
506,S.sali,853,GH,102-01,H,D,25,3.14,SD-double checked,10-corresponds to seed V/INV
507,S.sali,853,GH,102-01,H,D,25,2.96,SD-double checked,10-corresponds to seed V/INV
508,S.sali,853,GH,102-01,H,D,6,0.53,SD-double checked,10-corresponds to seed V/INV
509,S.sali,853,GH,102-01,H,D,25,2.41,SD-double checked,18-corresponds to seed V/INV
510,S.sali,853,GH,102-01,H,D,25,2.14,SD-double checked,18-corresponds to seed V/INV
511,S.sali,853,GH,102-01,H,D,19,1.55,SD-double checked,18-corresponds to seed V/INV
