dadgeneration	momgeneration	linenum	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crosstype	viable.seeds	comments	capsule.formed	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
P	P	2278	879-G-2	NA	NA	NA	NA	3587	NA	NA	NA	NA	HK	6	NA	TRUE	879WKG	G-2	3587WP	NA	PP	NA	NA	NA	NA	hook	kaal	H	K	H x K
P	P	2279	879-G-2	NA	NA	NA	NA	879	NA	NA	NA	NA	HHwithin	0	NA	FALSE	879WKG	G-2	879WKG	NA	PP	NA	NA	NA	NA	hook	hook	H	H	H x H
P	P	2280	879-H-2	NA	NA	NA	NA	3587	NA	NA	NA	NA	HK	0	NA	FALSE	879WKG	H-2	3587WP	NA	PP	NA	NA	NA	NA	hook	kaal	H	K	H x K
P	P	2281	879-H-2	NA	NA	NA	NA	879	NA	NA	NA	NA	HHwithin	0	NA	FALSE	879WKG	H-2	879WKG	NA	PP	NA	NA	NA	NA	hook	hook	H	H	H x H
P	P	2282	879-2-2	NA	NA	NA	NA	892	NA	NA	NA	NA	HK	17	NA	TRUE	879WKG	2-2	892WKG	NA	PP	NA	NA	NA	NA	hook	kaal	H	K	H x K
P	P	2283	879-2-2	NA	NA	NA	NA	904	NA	NA	NA	NA	HK	16	NA	TRUE	879WKG	2-2	904WPG	NA	PP	NA	NA	NA	NA	hook	kaal	H	K	H x K
P	P	2284	879-2-2	NA	NA	NA	NA	794	NA	NA	NA	NA	HHbetween	32	NA	TRUE	879WKG	2-2	WK	NA	PP	NA	NA	NA	NA	hook	hook	H	H	H x H
P	P	2285	879-2-2	NA	NA	NA	NA	879	NA	NA	NA	NA	HHwithin	12	NA	TRUE	879WKG	2-2	879WKG	NA	PP	NA	NA	NA	NA	hook	hook	H	H	H x H
P	P	2287	794-5	NA	NA	NA	NA	892	NA	NA	NA	NA	HK	6	NA	TRUE	WK	5	892WKG	NA	PP	NA	NA	NA	NA	hook	kaal	H	K	H x K
P	P	2289	794-2	NA	NA	NA	NA	879	NA	NA	NA	NA	HHbetween	22	NA	TRUE	WK	2	879WKG	NA	PP	NA	NA	NA	NA	hook	hook	H	H	H x H
P	P	2292	892-4	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	5	NA	TRUE	892WKG	4	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2293	892-5	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	5	NA	TRUE	892WKG	5	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2295	892-5	NA	NA	NA	NA	892	NA	NA	NA	NA	KKwithin	0	NA	FALSE	892WKG	5	892WKG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2297	892-5	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	0	NA	FALSE	892WKG	5	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2298	892-3	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	7	NA	TRUE	892WKG	3	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2299	892-3	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	0	NA	FALSE	892WKG	3	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2300	892-3	NA	NA	NA	NA	3587	NA	NA	NA	NA	KKbetween	11	NA	TRUE	892WKG	3	3587WP	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2301	879-3-8	NA	NA	NA	NA	892	NA	NA	NA	NA	HK	0	NA	FALSE	879WKG	3-8	892WKG	NA	PP	NA	NA	NA	NA	hook	kaal	H	K	H x K
P	P	2302	879-3-8	NA	NA	NA	NA	794	NA	NA	NA	NA	HHbetween	0	NA	FALSE	879WKG	3-8	WK	NA	PP	NA	NA	NA	NA	hook	hook	H	H	H x H
P	P	2303	794-6	NA	NA	NA	NA	904	NA	NA	NA	NA	HK	10	NA	TRUE	WK	6	904WPG	NA	PP	NA	NA	NA	NA	hook	kaal	H	K	H x K
P	P	2305	904-2	NA	NA	NA	NA	892	NA	NA	NA	NA	KKbetween	11	NA	TRUE	904WPG	2	892WKG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2306	904-2	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	0	NA	FALSE	904WPG	2	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2307	904-2	NA	NA	NA	NA	866	NA	NA	NA	NA	KH	0	NA	FALSE	904WPG	2	WK	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2308	904-5	NA	NA	NA	NA	892	NA	NA	NA	NA	KKbetween	14	NA	TRUE	904WPG	5	892WKG	NA	PP	NA	NA	NA	NA	kaal	kaal	K	K	K x K
P	P	2309	904-5	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	9	NA	TRUE	904WPG	5	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2311	904-5	NA	NA	NA	NA	879	NA	NA	NA	NA	KH	10	NA	TRUE	904WPG	5	879WKG	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
P	P	2313	904-5	NA	NA	NA	NA	794	NA	NA	NA	NA	KH	2	NA	TRUE	904WPG	5	WK	NA	PP	NA	NA	NA	NA	kaal	hook	K	H	K x H
